Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Marketing_Airline_Network,Operated_or_Branded_Code_Share_Partners,DOT_ID_Marketing_Airline,IATA_Code_Marketing_Airline,Flight_Number_Marketing_Airline,Originally_Scheduled_Code_Share_Airline,DOT_ID_Originally_Scheduled_Code_Share_Airline,IATA_Code_Originally_Scheduled_Code_Share_Airline,Flight_Num_Originally_Scheduled_Code_Share_Airline,Operating_Airline ,DOT_ID_Operating_Airline,IATA_Code_Operating_Airline,Tail_Number,Flight_Number_Operating_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum,Duplicate
2026,1,1,8,4,1/8/2026,UA,UA_CODESHARE,19977,UA,4386,,,,,G7,20500,G7,N541GJ,4386,11618,1161803,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,14524,1452402,34524,RIC,"Richmond, VA",VA,51,Virginia,38,1845,1848,3,3,0,0,1800-1859,20,1908,2003,6,2028,2009,-19,0,0,-2,2000-2059,0,,0,103,81,55,1,277,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2026,1,1,8,4,1/8/2026,UA,UA_CODESHARE,19977,UA,4385,,,,,G7,20500,G7,N561GJ,4385,11618,1161803,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,12323,1232306,32323,ILM,"Wilmington, NC",NC,37,North Carolina,36,1352,1345,-7,0,0,-1,1300-1359,18,1403,1521,4,1544,1525,-19,0,0,-2,1500-1559,0,,0,112,100,78,1,488,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2026,1,1,8,4,1/8/2026,UA,UA_CODESHARE,19977,UA,4384,,,,,G7,20500,G7,N561GJ,4384,11618,1161803,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,10792,1079206,30792,BUF,"Buffalo, NY",NY,36,New York,22,0915,0910,-5,0,0,-1,0900-0959,39,0949,1052,3,1049,1055,6,6,0,0,1000-1059,0,,0,94,105,63,1,282,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2026,1,1,8,4,1/8/2026,UA,UA_CODESHARE,19977,UA,4383,,,,,G7,20500,G7,N539GJ,4383,14100,1410006,34100,PHL,"Philadelphia, PA",PA,42,Pennsylvania,23,12264,1226403,30852,IAD,"Washington, DC",VA,51,Virginia,38,1945,1930,-15,0,0,-1,1900-1959,20,1950,2024,6,2102,2030,-32,0,0,-2,2100-2159,0,,0,77,60,34,1,135,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2026,1,1,8,4,1/8/2026,UA,UA_CODESHARE,19977,UA,4381,,,,,G7,20500,G7,N544GJ,4381,11618,1161803,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,11193,1119302,33105,CVG,"Cincinnati, OH",KY,21,Kentucky,52,1555,1549,-6,0,0,-1,1500-1559,32,1621,1800,5,1816,1805,-11,0,0,-1,1800-1859,0,,0,141,136,99,1,569,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2026,1,1,8,4,1/8/2026,UA,UA_CODESHARE,19977,UA,4378,,,,,C5,20445,C5,N21144,4378,12266,1226604,31453,IAH,"Houston, TX",TX,48,Texas,74,12992,1299206,32600,LIT,"Little Rock, AR",AR,05,Arkansas,71,2028,2023,-5,0,0,-1,2000-2059,25,2048,2144,7,2159,2151,-8,0,0,-1,2100-2159,0,,0,91,88,56,1,374,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2026,1,1,8,4,1/8/2026,UA,UA_CODESHARE,19977,UA,4375,,,,,C5,20445,C5,N16178,4375,12266,1226604,31453,IAH,"Houston, TX",TX,48,Texas,74,12915,1291503,31205,LCH,"Lake Charles, LA",LA,22,Louisiana,72,1425,1424,-1,0,0,-1,1400-1459,13,1437,1506,4,1525,1510,-15,0,0,-1,1500-1559,0,,0,60,46,29,1,127,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2026,1,1,8,4,1/8/2026,UA,UA_CODESHARE,19977,UA,4372,,,,,C5,20445,C5,N23139,4372,12264,1226403,30852,IAD,"Washington, DC",VA,51,Virginia,38,13230,1323002,32070,MDT,"Harrisburg, PA",PA,42,Pennsylvania,23,1247,1237,-10,0,0,-1,1200-1259,36,1313,1347,5,1351,1352,1,1,0,0,1300-1359,0,,0,64,75,34,1,93,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2026,1,1,8,4,1/8/2026,UA,UA_CODESHARE,19977,UA,4371,,,,,C5,20445,C5,N11192,4371,12266,1226604,31453,IAH,"Houston, TX",TX,48,Texas,74,12992,1299206,32600,LIT,"Little Rock, AR",AR,05,Arkansas,71,0946,0942,-4,0,0,-1,0900-0959,20,1002,1057,5,1122,1102,-20,0,0,-2,1100-1159,0,,0,96,80,55,1,374,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2026,1,1,8,4,1/8/2026,UA,UA_CODESHARE,19977,UA,4369,,,,,C5,20445,C5,N17169,4369,12266,1226604,31453,IAH,"Houston, TX",TX,48,Texas,74,13422,1342202,30562,MOB,"Mobile, AL",AL,01,Alabama,51,1030,1047,17,17,1,1,1000-1059,13,1100,1157,4,1204,1201,-3,0,0,-1,1200-1259,0,,0,94,74,57,1,427,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
